                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4807,                  6.044,                 1.6952,                0.54531,                0.62162,                0.57891,                 0.2528,                 1.5604,                  9.419,                   1.93,               0.000662,               0.000662,               0.000662
                      2,                 1.6508,                 4.4672,                 1.8566,                 0.3425,                0.38739,                0.28171,                 0.1006,                 2.0719,                 10.952,                 2.5614,              0.0011971,              0.0011971,              0.0011971
                      3,                 1.7274,                 3.2707,                  1.899,                0.60067,                 0.5045,                0.52004,                0.26085,                 1.7551,                 3.6458,                 1.8949,              0.0016003,              0.0016003,              0.0016003
                      4,                 1.5369,                 2.6791,                 1.7368,                0.69993,                0.65146,                0.72488,                0.33087,                 1.6697,                 2.3098,                 1.7468,               0.001406,               0.001406,               0.001406
                      5,                  1.592,                 2.1567,                 1.7646,                 0.6457,                0.71171,                0.72671,                0.39541,                 1.5724,                 1.8591,                 1.6552,               0.001406,               0.001406,               0.001406
                      6,                  1.556,                 1.9637,                 1.7028,                0.70589,                0.75678,                0.79504,                0.42267,                 1.4774,                 1.8833,                 1.6221,               0.001208,               0.001208,               0.001208
                      7,                 1.4405,                 1.7169,                  1.621,                0.89194,                0.74361,                0.83926,                0.47672,                 1.4146,                 1.4734,                 1.5139,                0.00101,                0.00101,                0.00101
                      8,                 1.4501,                 1.5221,                 1.6322,                0.77609,                0.86486,                0.89643,                0.54961,                 1.3338,                 1.3284,                 1.4405,               0.000812,               0.000812,               0.000812
                      9,                 1.3721,                 1.4238,                  1.554,                0.86318,                0.88288,                0.91967,                0.54773,                 1.3243,                 1.2083,                 1.4231,               0.000614,               0.000614,               0.000614
                     10,                 1.2762,                 1.3392,                 1.4641,                0.91233,                0.93755,                0.97365,                0.63151,                 1.2418,                0.98312,                 1.3912,               0.000416,               0.000416,               0.000416
